Transaction ID,Item,Date,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit,tavg,prcp,wspd
1,"Office Supplies_Paper_Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",2014-01-03,Darren Powers,Texas,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,2,5.55,3.7,0.0,11.4
2,"Office Supplies_Labels_Avery 508, Office Supplies_Storage_SAFCO Boltless Steel Shelving, Office Supplies_Binders_GBC Standard Plastic Binding Systems Combs",2014-01-04,Phillina Ober,Illinois,Office Supplies,Labels,Avery 508,11.78,3,4.27,-3.1,2.1742177933538844,29.5
3,"Office Supplies_Art_Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",2014-01-05,Mick Brown,Pennsylvania,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3,4.88,14.326055533232982,1.8191498129141348,10.86637533288153
4,"Office Supplies_Art_Dixon Prang Watercolor Pencils, 10-Color Set with Brush",2014-01-06,Jack O'Briant,Georgia,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,5.24,14.326055533232982,1.8191498129141348,10.86637533288153
5,Office Supplies_Paper_Xerox 225,2014-01-06,Lycoris Saunders,California,Office Supplies,Paper,Xerox 225,19.44,3,9.33,7.5,0.0,3.0
6,"Furniture_Chairs_Global Deluxe High-Back Manager's Chair, Office Supplies_Binders_Ibico Hi-Tech Manual Binding System, Office Supplies_Art_Rogers Handheld Barrel Pencil Sharpener, Technology_Phones_GE 30524EE4, Technology_Phones_Wireless Extenders zBoost YX545 SOHO Signal Booster, Office Supplies_Fasteners_Alliance Super-Size Bands, Assorted Sizes, Office Supplies_Paper_Southworth 25% Cotton Granite Paper & Envelopes",2014-01-06,Maria Etezadi,Kentucky,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,746.41,-13.7,2.1742177933538844,28.4
7,"Furniture_Furnishings_Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock, Office Supplies_Binders_Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",2014-01-07,Vivek Sundaresam,Texas,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3,-53.71,0.7,0.0,13.7
8,"Office Supplies_Art_Newell 312, Technology_Accessories_Memorex Micro Travel Drive 8 GB",2014-01-09,Melanie Seite,Texas,Office Supplies,Art,Newell 312,9.34,2,1.17,12.8,0.3,7.4
9,"Office Supplies_Labels_Avery 482, Furniture_Furnishings_Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",2014-01-10,Anthony Jacobs,Virginia,Office Supplies,Labels,Avery 482,2.89,1,1.36,1.5,2.1742177933538844,1.7
10,"Furniture_Furnishings_DAX Value U-Channel Document Frames, Easel Back",2014-01-11,Seth Vernon,Delaware,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,3.08,14.326055533232982,1.8191498129141348,10.86637533288153
11,"Office Supplies_Storage_Tennsco 6- and 18-Compartment Lockers, Furniture_Bookcases_O'Sullivan Elevations Bookcase, Cherry Finish, Office Supplies_Art_4009 Highlighters by Sanford",2014-01-13,Brian Dahlen,California,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,238.65,6.0,0.0,2.9
12,"Office Supplies_Envelopes_Staple envelope, Office Supplies_Envelopes_Brown Kraft Recycled Envelopes, Technology_Accessories_Plantronics S12 Corded Telephone Headset System, Office Supplies_Binders_3-ring staple pack, Office Supplies_Storage_Fellowes Stor/Drawer Steel Plus Storage Drawers",2014-01-13,Chris Selesnick,Louisiana,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34,14.326055533232982,1.8191498129141348,10.86637533288153
13,"Office Supplies_Paper_Xerox 1923, Office Supplies_Binders_Avery Metallic Poly Binders",2014-01-13,Michael Moore,Ohio,Office Supplies,Paper,Xerox 1923,37.41,7,13.09,5.5,2.1742177933538844,14.0
